2023-12-16 00:50:40.736 +05:30 [INF]  TagNo : SYA916JR00019
2023-12-16 00:55:47.092 +05:30 [INF]  TagNo : PLG0364
2023-12-16 00:56:19.564 +05:30 [INF]  TagNo : PLG0362
2023-12-16 00:56:47.541 +05:30 [INF]  TagNo : ORG0358
2023-12-16 00:57:06.920 +05:30 [INF]  TagNo : PLG0361
2023-12-16 00:57:22.146 +05:30 [INF]  TagNo : ORG0457
2023-12-16 00:57:52.319 +05:30 [INF]  TagNo : PLG0363
2023-12-16 00:58:59.642 +05:30 [INF]  TagNo : ORG0371
2023-12-16 01:00:31.182 +05:30 [INF]  TagNo : PLG0261
2023-12-16 01:02:08.570 +05:30 [INF]  TagNo : PLG0269
2023-12-16 01:17:07.544 +05:30 [INF]  TagNo : PLG0082
2023-12-16 01:19:42.153 +05:30 [INF]  TagNo : PLG0263
2023-12-16 01:20:35.006 +05:30 [INF]  TagNo : PLG0303
2023-12-16 01:22:08.593 +05:30 [INF]  TagNo : PLG0281
2023-12-16 01:28:12.376 +05:30 [INF]  TagNo : PLG0100
2023-12-16 23:36:32.972 +05:30 [INF]  TagNo : SYA18KPL00001
2023-12-16 23:37:47.262 +05:30 [INF]  TagNo : SYA18KPL00002
2023-12-16 23:39:32.313 +05:30 [INF]  TagNo : SYA18KPL00003
2023-12-16 23:39:56.465 +05:30 [INF]  TagNo : SYA916PL00004
2023-12-16 23:40:19.270 +05:30 [INF]  TagNo : SYA18KPL00005
2023-12-16 23:40:42.629 +05:30 [INF]  TagNo : SYA18KPL00006
2023-12-16 23:40:57.877 +05:30 [INF]  TagNo : SYA18KPL00007
2023-12-16 23:41:21.704 +05:30 [INF]  TagNo : SYA18KPL00008
2023-12-16 23:41:46.636 +05:30 [INF]  TagNo : SYA18KPL00009
2023-12-16 23:42:11.889 +05:30 [INF]  TagNo : SYA18KPL00010
2023-12-16 23:45:11.338 +05:30 [INF]  TagNo : SYA916PL00011
2023-12-16 23:47:04.720 +05:30 [INF]  TagNo : SYA916PL00012
2023-12-16 23:48:01.442 +05:30 [INF]  TagNo : SYA18KPL00013
2023-12-16 23:48:21.517 +05:30 [INF]  TagNo : SYA18KPL00014
2023-12-16 23:48:39.927 +05:30 [INF]  TagNo : SYA18KPL00015
2023-12-16 23:49:42.774 +05:30 [INF]  TagNo : SYA18KPL00016
2023-12-16 23:50:05.644 +05:30 [INF]  TagNo : SYA18KPL00017
2023-12-16 23:58:29.357 +05:30 [INF]  TagNo : SYA18KPL00018
2023-12-16 23:59:36.257 +05:30 [INF]  TagNo : SYA18KPL00019
