2023-12-17 10:12:21.252 +05:30 [INF]  TagNo : SYA916PL00001
2023-12-17 11:57:48.889 +05:30 [INF]  TagNo : SYASLOPY00002
2023-12-17 12:32:18.086 +05:30 [INF]  TagNo : SYASLOPY00042
2023-12-17 14:52:39.745 +05:30 [INF]  TagNo : SYA916BU00004
2023-12-17 14:53:54.789 +05:30 [INF]  TagNo : SYA916BU00005
2023-12-17 14:54:05.803 +05:30 [INF]  TagNo : SYA916BU00006
2023-12-17 14:54:23.951 +05:30 [INF]  TagNo : SYA916BU00007
2023-12-17 14:54:45.272 +05:30 [INF]  TagNo : SYA916BU00008
2023-12-17 14:55:45.184 +05:30 [INF]  TagNo : SYA916BU00009
2023-12-17 14:55:55.110 +05:30 [INF]  TagNo : SYA916BU00010
2023-12-17 14:56:05.508 +05:30 [INF]  TagNo : SYA916BU00011
2023-12-17 14:56:18.820 +05:30 [INF]  TagNo : SYA916LR00017
2023-12-17 14:56:34.573 +05:30 [INF]  TagNo : SYA916LR00017
2023-12-17 14:56:58.210 +05:30 [INF]  TagNo : SYA916LR00018
2023-12-17 14:57:06.218 +05:30 [INF]  TagNo : SYA916LR00019
2023-12-17 14:57:11.472 +05:30 [INF]  TagNo : SYA916LR00020
2023-12-17 14:57:20.770 +05:30 [INF]  TagNo : SYA916LR00021
2023-12-17 14:57:31.384 +05:30 [INF]  TagNo : SYA916LR00022
2023-12-17 15:01:08.874 +05:30 [INF]  TagNo : SYA916BU00011
2023-12-17 15:01:19.911 +05:30 [INF]  TagNo : SYA916BU00010
