2023-12-17 00:25:08.014 +05:30 [INF]  TagNo : SYA18KPL00040
2023-12-17 00:26:12.165 +05:30 [INF]  TagNo : SYA18KPL00041
2023-12-17 00:26:23.574 +05:30 [INF]  TagNo : SYA18KPL00042
2023-12-17 00:26:50.102 +05:30 [INF]  TagNo : SYA18KPL00043
2023-12-17 00:27:42.566 +05:30 [INF]  TagNo : SYA18KPL00043
2023-12-17 00:27:52.151 +05:30 [INF]  TagNo : SYA18KPL00044
2023-12-17 00:28:03.060 +05:30 [INF]  TagNo : SYA18KPL00045
2023-12-17 00:28:12.720 +05:30 [INF]  TagNo : SYA18KPL00046
2023-12-17 00:28:35.783 +05:30 [INF]  TagNo : SYA18KPL00047
2023-12-17 00:30:16.827 +05:30 [INF]  TagNo : SYA18KPL00041
2023-12-17 00:30:23.544 +05:30 [INF]  TagNo : SYA18KPL00048
2023-12-17 00:30:37.909 +05:30 [INF]  TagNo : SYA18KPL00049
2023-12-17 00:30:44.958 +05:30 [INF]  TagNo : SYA18KPL00050
2023-12-17 00:30:56.187 +05:30 [INF]  TagNo : SYA18KPL00051
2023-12-17 00:31:04.810 +05:30 [INF]  TagNo : SYA18KPL00052
2023-12-17 00:35:49.056 +05:30 [INF]  TagNo : SYA18KPL00048
2023-12-17 10:11:55.908 +05:30 [INF]  TagNo : SYA925PY00001
