2023-12-22 13:51:03.401 +05:30 [INF]  TagNo : SYA916BU00017
2023-12-22 13:51:56.757 +05:30 [INF]  TagNo : BUG0751
2023-12-22 13:53:30.940 +05:30 [INF]  TagNo : BUG0826
2023-12-22 13:54:23.955 +05:30 [INF]  TagNo : BUG0802
2023-12-22 13:56:17.996 +05:30 [INF]  TagNo : BUG0750
2023-12-22 13:56:50.653 +05:30 [INF]  TagNo : BLG0166
2023-12-22 13:57:25.469 +05:30 [INF]  TagNo : BLG0155
2023-12-22 13:58:18.797 +05:30 [INF]  TagNo : BLG0161
2023-12-22 14:00:58.250 +05:30 [INF]  TagNo : ORG0327
2023-12-22 14:02:23.254 +05:30 [INF]  TagNo : BUG0832
